"Date"," Cld Base [m]"," Cld Top [m]", "CT Bumpiness", " Cld Thickness [m]"," LWP [g m^−2]"," Start time"," End time"," Duration"
"16/07/2008",180,470, 19, 290,98, 11:16, 14:22, 03:06
"17/07/2008",280,444, 30, 160,41, 11:43, 14:48, 03:05
"18/07/2008",240,479, 17, 240,69, 19:02, 21:42, 02:40
"21/07/2008",340,937, 33, 600,96, 11:32, 13:44, 02:12
"27/07/2008",180,432, 53, 250,55, 19:07, 22:03, 02:56
"28/07/2008",300,570, 55, 270,92, 18:56, 22:26, 03:30
"30/07/2008",130,322, 32, 190,59, 11:22, 15:04, 03:42
"01/08/2008",90,369, 54, 280,51, 11:08, 14:46, 03:38
"04/08/2008",370,614, 40,  240,66, 11:23, 14:14, 02:51
"06/08/2008",380,532, 39, 150,17, 18:49, 21:50, 03:01
"07/08/2008",460,713, 55, 250,63, 19:14, 22:23, 03:09
"08/08/2008",250,599, 42, 350,135, 19:28, 22:19, 02:51
"11/08/2008",130,510, 28, 380,160, 19:15, 22:23, 03:08
"12/08/2008",150,473, 35, 320,53, 19:17, 22:04, 02:47
"14/08/2008",140,426, 27, 290,84, 11:28, 14:20, 02:52
"15/08/2008",140,421, 24, 280,77, 10:30, 13:14, 02:44
